Disease,Medication
Hypothyroidism,"['Levothyroxine', 'Liothyronine', 'Combination T3/T4 therapy', 'Iodine supplements', 'Vitamin D', 'Vitamin B12']"
Hyperthyroidism,"['Methimazole', 'Propylthiouracil', 'Beta-blockers', 'Radioactive iodine', 'Iodine drops', 'Steroids']"
Hypoglycemia,"['Glucose tablets', 'Dextrose', 'Glucagon injection', 'Carbohydrate therapy', 'Oral sugars', 'Electrolyte drinks']"
Osteoarthristis,"['NSAIDs', 'Pain relievers', 'Duloxetine', 'Hyaluronic acid injections', 'Steroid injections', 'Muscle relaxants', 'Topical NSAIDs']"
Arthritis,"['NSAIDs', 'DMARDs', 'Methotrexate', 'Sulfasalazine', 'Corticosteroids', 'Biologic drugs', 'Pain relievers']"
(vertigo) Paroymsal Positional Vertigo,
Acne,"['Benzoyl peroxide', 'Topical retinoids', 'Clindamycin', 'Doxycycline', 'Azelaic acid', 'Salicylic acid', 'Isotretinoin']"
Urinary tract infection,"['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim', 'Fosfomycin', 'Levofloxacin', 'Ceftriaxone', 'Pain relievers']"
Psoriasis,"['Topical steroids', 'Vitamin D analogs', 'Coal tar', 'Phototherapy', 'Methotrexate', 'Biologics', 'Retinoids']"
Impetigo,"['Mupirocin', 'Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Fusidic acid', 'Cephalexin']"
